EDAD;GENERO;INGRESOS;EGRESOS;HABITO_PAGO;CREDITOS_VIGENTES;PUNTAJE_RIESGO;ESTADO
78;F; $ 1.680.000 ; $ 395.500 ;B;0;2.415;Negada
78;F; $ 1.120.000 ; $ 339.000 ;B;1;2.238;Negada
78;M; $ 3.360.000 ; $ 339.000 ;E;12;2.511;Negada
77;M; $ 3.920.000 ; $ 2.856.640 ;E;5;1.557;Aprobada
77;F; $ 840.000 ; $ 576.300 ;B;3;2.124;Desistida
77;F; $ 3.066.243 ; $ 1.543.580 ;E;2;2.124;Aprobada
77;F; $ 1.316.188 ; $ 226.000 ;E;3;1.239;Negada
77;M; $ 2.486.400 ; $ 271.200 ;E;2;2.367;Negada
75;F; $ 3.136.000 ; $ 2.034.000 ;B;1;3;Negada
75;F; $ 5.040.000 ; $ 395.500 ;E;4;2.388;Desistida
75;M; $ 862.400 ; $ 339.000 ;B;0;2.127;Negada
75;M; $ 826.243 ; $ 452.000 ;B;2;3;Desistida
75;F; $ 1.008.000 ; $ 452.000 ;B;0;2.076;Desistida
75;M; $ 1.792.000 ; $ 395.500 ;E;2;2.385;Anulada
75;M; $ 1.792.000 ; $ 395.500 ;E;2;2.385;Anulada
75;M; $ 1.792.000 ; $ 395.500 ;E;2;2.385;Aprobada
75;M; $ 2.240.000 ; $ 452.000 ;B;3;1.335;Desistida
75;F; $ 2.240.000 ; $ 1.356.000 ;B;0;2.451;Negada
75;F; $ 7.392.000 ; $ 6.463.600 ;B;0;2.250;Anulada
75;F; $ 7.392.000 ; $ 6.802.600 ;B;0;2.250;Aprobada
75;M; $ 1.792.000 ; $ 395.500 ;E;2;2.385;Anulada
75;M; $ 1.792.000 ; $ 169.500 ;B;1;2.406;Desistida
75;F; $ 1.344.000 ; $ 791.000 ;B;1;2.523;Desistida
74;F; $ 1.572.480 ; $ 632.800 ;C;6;2.064;Anulada
74;F; $ 2.132.480 ; $ 632.800 ;C;6;2.064;Aprobada
74;F; $ 4.480.000 ; $ 723.200 ;E;6;2.256;Aprobada
74;F; $ 4.480.000 ; $ 723.200 ;E;6;2.256;Anulada
74;F; $ 1.680.000 ; $ 565.000 ;E;3;1.377;Negada
74;M; $ 1.120.000 ; $ 339.000 ;E;3;2.394;Negada
74;F; $ 2.408.000 ; $ 709.640 ;E;5;2.529;Anulada
74;M; $ 1.680.000 ; $ 113.000 ;E;1;2.619;Negada
74;F; $ 2.408.000 ; $ 709.640 ;E;5;2.529;Aprobada
74;F; $ 1.512.000 ; $ 678.000 ;E;3;2.169;Aprobada
74;M; $ 1.904.000 ; $ 565.000 ;B;2;2.253;Negada
74;M; $ 896.000 ; $ 226.000 ;B;2;963;Negada
74;F; $ 2.576.000 ; $ 802.300 ;B;0;0;Aprobada
73;F; $ 2.296.000 ; $ 1.322.100 ;E;4;2.373;Aprobada
73;F; $ 1.612.800 ; $ 892.700 ;B;1;1.380;Desistida
73;F; $ 3.337.600 ; $ 1.299.500 ;E;3;2.349;Anulada
73;F; $ 3.337.600 ; $ 1.299.500 ;E;3;2.349;Aprobada
73;F; $ 3.341.706 ; $ 2.759.460 ;B;3;2.100;Desistida
73;F; $ 1.624.000 ; $ 339.000 ;B;0;0;Negada
73;M; $ 862.400 ; $ 339.000 ;E;6;2.253;Desistida
73;M; $ 1.120.000 ; $ 519.800 ;B;0;2.286;Anulada
73;M; $ 1.120.000 ; $ 519.800 ;B;0;2.286;Aprobada
73;M; $ 1.008.000 ; $ 226.000 ;B;0;1.854;Negada
73;M; $ 1.008.000 ; $ - ;B;0;1.854;Negada
73;F; $ 3.136.000 ; $ 665.034 ;E;8;2.397;Aprobada
73;F; $ 2.885.120 ; $ 1.130.000 ;E;8;2.373;Desistida
73;F; $ 1.120.000 ; $ 1.022.650 ;E;4;2.535;Negada
72;M; $ 3.360.000 ; $ 1.356.000 ;B;1;3;Negada
72;F; $ 11.200.000 ; $ 791.000 ;E;1;2.277;Desistida
72;F; $ 1.232.000 ; $ 678.000 ;B;0;2.136;Aprobada
72;F; $ 1.120.000 ; $ 339.000 ;C;4;966;Negada
72;F; $ 1.120.000 ; $ 452.000 ;B;1;2.364;Negada
72;F; $ 2.240.000 ; $ 1.130.000 ;B;1;2.193;Negada
72;F; $ 2.240.000 ; $ 1.130.000 ;B;0;2.394;Desistida
72;F; $ 2.016.000 ; $ 565.000 ;B;1;2.385;Negada
72;F; $ 2.654.400 ; $ 791.000 ;B;2;2.127;Desistida
72;F; $ 3.920.000 ; $ 565.000 ;E;10;2.418;Negada
